study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,19,pia,8.0,8,f,chimpanzee,,15.0,,,cup,left,no,
kirchhofer2012dogs,2008,03,19,pia,8.0,8,f,chimpanzee,,16.0,,,pvc,left,no,
kirchhofer2012dogs,2008,03,19,pia,8.0,8,f,chimpanzee,,17.0,,a2_f,spoon,right,no,
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,1,1.0,,,rope,right,yes,yes
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,,2.0,excluded,a1,scraper,left,,
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,,3.0,,a2_f,scraper,left,no,
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,,4.0,excluded,b1,black_hose,left,,
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,,5.0,excluded,b2,black_hose,left,,
kirchhofer2012dogs,2008,03,17,tai,5.0,5,f,chimpanzee,,6.0,,,pvc,right,yes,yes
kirchhofer2012dogs,2008,03,18,tai,5.0,5,f,chimpanzee,2,7.0,,,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,18,tai,5.0,5,f,chimpanzee,,8.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,18,tai,5.0,5,f,chimpanzee,,9.0,excluded,c1,green_hose,left,,
kirchhofer2012dogs,2008,03,18,tai,5.0,5,f,chimpanzee,,10.0,,,cup,right,no,
kirchhofer2012dogs,2008,03,18,tai,5.0,5,f,chimpanzee,,11.0,,c2_f,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,19,tai,5.0,5,f,chimpanzee,3,12.0,excluded,b3,black_hose,left,,
kirchhofer2012dogs,2008,03,19,tai,5.0,5,f,chimpanzee,,13.0,,,spoon,right,yes,yes
kirchhofer2012dogs,2008,03,19,tai,5.0,5,f,chimpanzee,,14.0,,,green_hose,right,yes,yes
kirchhofer2012dogs,2008,03,19,tai,5.0,5,f,chimpanzee,,15.0,,,pvc,left,no,
kirchhofer2012dogs,2008,03,19,tai,5.0,5,f,chimpanzee,,16.0,,,cup,left,no,
kirchhofer2012dogs,2008,03,25,tai,5.0,5,f,chimpanzee,4,17.0,,,tube,left,no,
kirchhofer2012dogs,2008,03,25,tai,5.0,5,f,chimpanzee,,18.0,,,black_hose,right,yes,yes
kirchhofer2012dogs,2008,03,25,tai,5.0,5,f,chimpanzee,,19.0,,,scraper,right,yes,yes
kirchhofer2012dogs,2008,03,25,tai,5.0,5,f,chimpanzee,,20.0,,,rope,left,no,
kirchhofer2012dogs,2008,03,25,tai,5.0,5,f,chimpanzee,,21.0,,b4_f,black_hose,left,no,
kirchhofer2012dogs,2008,3,13,lome,6.0,6,m,chimpanzee,1,1.0,,,cup,left,no,
kirchhofer2012dogs,2008,3,13,lome,6.0,6,m,chimpanzee,,2.0,excluded,a1,rope,right,yes,
kirchhofer2012dogs,2008,3,13,lome,6.0,6,m,chimpanzee,,3.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,3,13,lome,6.0,6,m,chimpanzee,,4.0,,,spoon,left,no,
kirchhofer2012dogs,2008,03,17,lome,6.0,6,m,chimpanzee,2,5.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,17,lome,6.0,6,m,chimpanzee,,6.0,,,black_hose,left,yes,yes
kirchhofer2012dogs,2008,03,17,lome,6.0,6,m,chimpanzee,,7.0,,,scraper,left,yes,yes
kirchhofer2012dogs,2008,03,17,lome,6.0,6,m,chimpanzee,,8.0,,,green_hose,right,no,
kirchhofer2012dogs,2008,03,19,lome,6.0,6,m,chimpanzee,3,9.0,,a2_f,rope,right,yes,yes
kirchhofer2012dogs,2008,03,19,lome,6.0,6,m,chimpanzee,,10.0,,,spoon,left,yes,yes
