study_id,participant,age_in_years,sex,species,session,trial,trial_subset,subset,early_item,late_item,coord_early_x,coord_early_y,coord_late_x,coord_late_y,magnitude,symbolic_distance,accuracy,latency,wavering,wavering_coder2
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,31,19,pair_34,3,4,1120,384,1120,896,3,1,1,2496,3.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,32,20,pair_34,3,4,160,384,1120,384,3,1,1,918,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,33,20,pair_14,1,4,1120,640,800,384,1,3,1,850,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,40,19,pair_23,2,3,800,384,160,128,2,1,0,953,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,44,21,pair_13,1,3,1120,128,1120,640,1,2,1,843,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,47,21,pair_34,3,4,1120,896,480,896,3,1,1,1476,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,50,20,pair_23,2,3,160,896,160,128,2,1,1,1853,2.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,55,21,pair_12,1,2,800,896,160,128,1,1,1,1292,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,58,19,pair_45,4,5,160,384,480,640,4,1,1,1745,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,61,20,pair_45,4,5,480,640,160,384,4,1,1,1564,3.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,63,21,pair_45,4,5,160,640,800,128,4,1,1,1821,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,64,21,pair_25,2,5,800,384,1120,384,2,3,1,904,0.0,
