study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,4,18,joey,25,m,bonobo,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,18,kuno,11,m,bonobo,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,18,bimbo,27,m,orangutan,initial_choice,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,18,bimbo,27,m,orangutan,trading_control_1,pellet,,,trade,yes,,gives_tube_back
kanngiesser2011limits,1,food,2008,4,18,bimbo,27,m,orangutan,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,18,pini,19,f,orangutan,initial_choice,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,18,pini,19,f,orangutan,trading_control_1,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,18,pini,19,f,orangutan,trading_control_2,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,19,joey,25,m,bonobo,endowment_trial_p,,,,no_trade,yes,yes,"doesn't_get_pellet_out_of_tube,_gave_stick_to_help"
kanngiesser2011limits,1,food,2008,4,19,kuno,11,m,bonobo,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,20,joey,25,m,bonobo,identical_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,20,kuno,11,m,bonobo,endowment_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,21,joey,25,m,bonobo,endowment_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,21,kuno,11,m,bonobo,endowment_trial_p,,,,no_trade,yes,no,trades_tube_for_food
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,trading_control_3,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,trading_control_4,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,choice_trial_1,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,choice_trial_2,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,joey,25,m,bonobo,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,trading_control_3,pellet,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,trading_control_4,banana,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,choice_trial_1,banana,right,pellet,,yes,,gives_all_tubes_back_in_the_end_(not_on_tape)
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,choice_trial_2,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,choice_trial_3,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,22,kuno,11,m,bonobo,choice_trial_4,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,23,bimbo,27,m,orangutan,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,23,pini,19,f,orangutan,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,24,bimbo,27,m,orangutan,identical_trial_b,,,,trade,yes,no,
kanngiesser2011limits,1,food,2008,4,24,pini,19,f,orangutan,endowment_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,28,bimbo,27,m,orangutan,endowment_trial_b,,,,trade,yes,no,
kanngiesser2011limits,1,food,2008,4,28,pini,19,f,orangutan,identical_trial_p,,,,no_trade,yes,yes,
