study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,6,top,yes,no,yes,no,2,0,2,0.0,15.0,0,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,7,top,yes,no,yes,no,2,0,2,0.36,15.0,0.36,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,8,top,yes,yes,yes,no,2,0,2,0.28,0.8,0.28,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,1,top,no,yes,no,yes,2,0,2,15.0,2.4,2.4,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,2,top,no,yes,no,yes,2,0,2,15.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,3,top,no,yes,no,yes,2,0,2,15.0,0.12,0.12,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,4,top,no,yes,no,yes,2,0,2,15.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,5,top,no,yes,no,yes,2,0,2,15.0,0.04,0.04,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,6,top,no,yes,no,yes,2,0,2,15.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,7,top,yes,yes,yes,no,2,2,0,0.0,0.2,0,no
