study_id,year,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_original,dyad_sex,trial,friendship_relation,poke_left_focal_participant,poke_right_focal_participant,poke_total,turn_taking_within_trial,total_turn_taking_per_dyad
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,2,no,66,25,91,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,3,no,39,36,75,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,4,no,43,24,67,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,5,no,42,40,82,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,6,no,54,29,83,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,7,no,55,24,79,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,8,no,59,31,90,4,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,9,no,45,19,64,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,10,no,64,11,75,3,
knofe2019chimpanzees,2011,alex,10,m,focal_participant_right_es_view,gertrudia,18,f,focal_participant_left_es_view,chimpanzee,alex_gertrudia,trudi_alex,mixed,1,no,36,43,79,1,21.0
