study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,5,control_for_preference_banana,banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,6,test_decoy_small_banana,banana,grape,small_banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,7,test_decoy_small_grape,grape,small_grape,banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,8,test_decoy_small_grape,banana,small_grape,grape,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,9,test_decoy_small_banana,small_banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,10,test_decoy_small_grape,small_grape,grape,banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,11,test_decoy_small_banana,grape,banana,small_banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,12,test_decoy_small_grape,banana,grape,small_grape,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,1,training_control_for_decoy_banana,empty,small_banana,banana,banana,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,2,training_baseline,banana,grape,empty,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,3,training_control_for_decoy_grape,small_grape,empty,grape,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,4,training_baseline,banana,empty,grape,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,5,training_baseline,grape,banana,empty,banana,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,6,training_baseline,grape,empty,banana,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,7,training_control_for_decoy_grape,small_grape,grape,empty,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,8,training_control_for_decoy_grape,grape,empty,small_grape,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,9,training_control_for_decoy_banana,banana,empty,small_banana,banana,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,10,training_control_for_decoy_grape,grape,small_grape,empty,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,11,training_baseline,empty,grape,banana,grape,first
sanchez2019disentangling,2017,7,28,bangolo,8.0,m,chimpanzee,1,12,training_control_for_decoy_banana,small_banana,empty,banana,banana,first
sanchez2019disentangling,2017,8,10,bangolo,8.0,m,chimpanzee,2,1,training_control_for_decoy_grape,empty,grape,small_grape,grape,first
