study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,padana,f,orangutan,2,1,unbending_task,bending,no,,,53.16,0.0,41.275,0.0,3.24,2.404,elsewhere,v,no,0.0,no,0.0,no,0.0,0,0.0,1.44
laumer2018spontaneous,padana,f,orangutan,2,2,unbending_task,bending,no,,,54.959,0.0,36.849,0.0,3.36,2.756,elsewhere,v_r,no,0.0,no,0.0,no,0.0,0,0.0,1.68
laumer2018spontaneous,padana,f,orangutan,2,3,unbending_task,bending,no,,,35.153,0.0,18.843,0.0,5.403,1.198,elsewhere,v,no,0.0,no,0.0,no,0.0,0,0.0,2.641
laumer2018spontaneous,padana,f,orangutan,2,4,unbending_task,bending,no,,,107.7,0.0,83.997,0.0,7.802,7.56200000000001,elsewhere,v_s_ r,no,0.0,no,0.0,no,0.0,0,0.0,2.042
laumer2018spontaneous,padana,f,orangutan,2,5,unbending_task,bending,no,,,68.614,0.0,47.153,0.0,5.28,5.4,elsewhere,v_s,no,0.0,no,0.0,no,0.0,0,0.0,1.44
laumer2018spontaneous,padana,f,orangutan,2,6,unbending_task,bending,no,,,52.309,0.0,42.582,0.0,4.201,3.72,elsewhere,r_v,no,0.0,no,0.0,no,0.0,0,0.0,2.761
laumer2018spontaneous,padana,f,orangutan,2,7,unbending_task,bending,no,,,16.2,0.0,9.719,0.0,3.48,0.713000000000001,elsewhere,r,no,0.0,no,0.0,no,0.0,0,0.0,2.04
laumer2018spontaneous,padana,f,orangutan,2,8,unbending_task,bending,no,,,28.798,0.0,14.273,0.0,6.599,10.921,at_apparatus_then_elsewhere,r_s_v,no,0.0,no,0.0,no,0.0,0,0.0,4.68
laumer2018spontaneous,padana,f,orangutan,2,9,unbending_task,bending,no,,,26.428,0.0,19.56,0.0,6.479,1.44,elsewhere,r,no,0.0,no,0.0,no,0.0,0,0.0,4.2
laumer2018spontaneous,padana,f,orangutan,2,10,unbending_task,bending,no,,,46.679,0.0,31.441,0.0,6.0,9.721,at_apparatus_then_elsewhere,v_s,no,0.0,no,0.0,no,0.0,0,0.0,4.201
