study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments
manrique2010great,1,2006,11,27,ulla,30.0,29.0,f,chimpanzee,3.0,string,no,2.0,b+c,grey_cord+blue_foam,c,blue_foam,,
manrique2010great,1,2006,11,28,ulla,30.0,29.0,f,chimpanzee,1.0,string,no,3.0,c,grey_felt,c,grey_felt,,
manrique2010great,1,2006,11,28,ulla,30.0,29.0,f,chimpanzee,2.0,string,no,3.0,b+c,red_pvc_strip+grey_felt,c,grey_felt,,
manrique2010great,1,2006,11,28,ulla,30.0,29.0,f,chimpanzee,3.0,string,no,3.0,c,grey_felt,c,grey_felt,,
manrique2010great,1,2006,12,5,ulla,30.0,29.0,f,chimpanzee,1.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,12,5,ulla,30.0,29.0,f,chimpanzee,2.0,string,yes,1.0,a+b+c,grey_plastic+blue_cord+white_paper,a,grey_plastic,,
manrique2010great,1,2006,12,5,ulla,30.0,29.0,f,chimpanzee,3.0,string,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2006,12,12,ulla,30.0,29.0,f,chimpanzee,1.0,cane,yes,1.0,a+c,wood_cane_pieces+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,12,ulla,30.0,29.0,f,chimpanzee,2.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,12,ulla,30.0,29.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,13,ulla,30.0,29.0,f,chimpanzee,1.0,cane,yes,1.0,a+c,wood_cane_pieces+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,13,ulla,30.0,29.0,f,chimpanzee,2.0,cane,yes,1.0,a+c,wood_cane_pieces+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,13,ulla,30.0,29.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,15,ulla,30.0,29.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,15,ulla,30.0,29.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,15,ulla,30.0,29.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,21,ulla,30.0,29.0,f,chimpanzee,1.0,table,no,2.0,b+c,grey_cord+blue_foam,c,blue_foam,,
manrique2010great,1,2006,12,21,ulla,30.0,29.0,f,chimpanzee,2.0,table,no,2.0,b+c,grey_cord+blue_foam,c,blue_foam,,
manrique2010great,1,2006,12,21,ulla,30.0,29.0,f,chimpanzee,3.0,table,no,2.0,c,blue_foam,c,blue_foam,,
manrique2010great,1,2006,1,9,ulla,30.0,28.0,f,chimpanzee,1.0,table,no,3.0,b+c,red_pvc_strip+grey_felt,b,red_pvc_strip,,
manrique2010great,1,2006,1,9,ulla,30.0,28.0,f,chimpanzee,2.0,table,no,3.0,b,red_pvc_strip,b,red_pvc_strip,,
manrique2010great,1,2006,1,9,ulla,30.0,28.0,f,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,1,11,ulla,30.0,28.0,f,chimpanzee,1.0,table,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2006,1,11,ulla,30.0,28.0,f,chimpanzee,2.0,table,no,1.0,b,blue_cord,b,blue_cord,,
manrique2010great,1,2006,1,11,ulla,30.0,28.0,f,chimpanzee,3.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,22,joey,24.0,24.0,m,bonobo,1.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2007,2,22,joey,24.0,24.0,m,bonobo,2.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2007,2,22,joey,24.0,24.0,m,bonobo,3.0,string,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2007,2,23,joey,24.0,24.0,m,bonobo,1.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,2,23,joey,24.0,24.0,m,bonobo,2.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,2,23,joey,24.0,24.0,m,bonobo,3.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2007,2,26,joey,24.0,24.0,m,bonobo,1.0,string,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,2,26,joey,24.0,24.0,m,bonobo,2.0,string,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,2,26,joey,24.0,24.0,m,bonobo,3.0,string,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,2,27,joey,24.0,24.0,m,bonobo,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,27,joey,24.0,24.0,m,bonobo,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,27,joey,24.0,24.0,m,bonobo,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,28,joey,24.0,24.0,m,bonobo,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,28,joey,24.0,24.0,m,bonobo,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,28,joey,24.0,24.0,m,bonobo,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,3,1,joey,24.0,24.0,m,bonobo,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,3,1,joey,24.0,24.0,m,bonobo,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,3,1,joey,24.0,24.0,m,bonobo,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,3,2,joey,24.0,24.0,m,bonobo,1.0,table,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,3,2,joey,24.0,24.0,m,bonobo,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,3,2,joey,24.0,24.0,m,bonobo,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,3,6,joey,24.0,24.0,m,bonobo,1.0,table,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2007,3,6,joey,24.0,24.0,m,bonobo,2.0,table,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2007,3,6,joey,24.0,24.0,m,bonobo,3.0,table,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2007,3,7,joey,24.0,24.0,m,bonobo,1.0,table,yes,3.0,a+b+c,green_garden_wire+red_pvc_strip+grey_felt,a,green_garden_wire,,
manrique2010great,1,2007,3,7,joey,24.0,24.0,m,bonobo,2.0,table,yes,3.0,a+b+c,green_garden_wire+red_pvc_strip+grey_felt,a,green_garden_wire,,
manrique2010great,1,2007,3,7,joey,24.0,24.0,m,bonobo,3.0,table,yes,3.0,a+b+c,green_garden_wire+red_pvc_strip+grey_felt,a,green_garden_wire,,
manrique2010great,1,2007,2,22,kuno,10.0,10.0,m,bonobo,1.0,string,yes,3.0,a+b,green_garden_wire+red_pvc_strip,a,green_garden_wire,,
manrique2010great,1,2007,2,22,kuno,10.0,10.0,m,bonobo,2.0,string,yes,3.0,a+b+c,green_garden_wire+red_pvc_strip+grey_felt,a,green_garden_wire,,
manrique2010great,1,2007,2,22,kuno,10.0,10.0,m,bonobo,3.0,string,yes,3.0,a+c,green_garden_wire+grey_felt,a,green_garden_wire,,
manrique2010great,1,2007,2,23,kuno,10.0,10.0,m,bonobo,1.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2007,2,23,kuno,10.0,10.0,m,bonobo,2.0,string,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2007,2,23,kuno,10.0,10.0,m,bonobo,3.0,string,no,2.0,a+c,metal_U-shaped+blue_foam,c,blue_foam,,
manrique2010great,1,2007,2,26,kuno,10.0,10.0,m,bonobo,1.0,string,no,1.0,b+c,blue_cord+white_paper,c,blue_cord,,
manrique2010great,1,2007,2,26,kuno,10.0,10.0,m,bonobo,2.0,string,yes,1.0,a+c,grey_plastic+white_paper,a,grey_plastic,,
manrique2010great,1,2007,2,26,kuno,10.0,10.0,m,bonobo,3.0,string,yes,1.0,a+b+c,grey_plastic+blue_cord+white_paper,a,grey_plastic,,
manrique2010great,1,2007,2,27,kuno,10.0,10.0,m,bonobo,1.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2007,2,27,kuno,10.0,10.0,m,bonobo,2.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2007,2,27,kuno,10.0,10.0,m,bonobo,3.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2007,2,28,kuno,10.0,10.0,m,bonobo,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2007,2,28,kuno,10.0,10.0,m,bonobo,2.0,cane,no,1.0,c,string_cane_pieces_c,c,string_cane_pieces_c,,
