study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,2.0,2.0,1.0,8.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,2.0,3.0,1.0,119.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,3.0,1.0,1.0,113.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,3.0,2.0,1.0,60.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,3.0,3.0,1.0,117.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,4.0,1.0,2.0,46.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,4.0,2.0,2.0,59.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,4.0,3.0,2.0,120.36,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,5.0,1.0,2.0,120.6,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,5.0,2.0,2.0,60.44,0.0
