study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,activity,latency_to_reach_or_touch,not_found_or_taken,percentage_items_found,food_item
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,2.0,43.16,43.16,90.0,5.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,3.0,47.08,47.08,90.0,6.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,3.0,69.76,69.76,90.0,7.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,3.0,135.6,135.6,90.0,8.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,1.0,154.8,154.8,90.0,9.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,2.0,0.0,600.0,90.0,10.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,,1.48,1.48,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,3.0,7.12,7.12,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,2.0,7.8,7.8,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,3.0,14.96,14.96,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,2.0,37.2,37.2,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,3.0,40.96,40.96,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,2.0,45.16,45.16,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,1.0,51.68,51.68,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,2.0,55.64,55.64,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,1.0,62.08,62.08,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,3,1,1.0,77.28,77.28,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,4,2,,1.32,1.32,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,4,2,3.0,21.6,21.6,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,4,2,2.0,28.2,28.2,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,4,2,2.0,34.28,34.28,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,4,2,2.0,45.32,45.32,100.0,4.0
