"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,1,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,2,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,5,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,11,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,14,"fraukje",36.52,36,"f","chimpanzee","a",14,12,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,2,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,6,"arbitrary","b","a","r","l",0
