study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,yawn_baseline,yawn_experimental,nosewipe_baseline,nosewipe_experimental,scratch_baseline,scratch_experimental,wristshake_baseline,wristshake_experimental,handclose_baseline,handclose_experimental
amici2014response,1,task_1_imitation_1_human,2005,12,16,jahaga,12,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,2,patrick,8,m,chimpanzee,hand_closing,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,2,patrick,8,m,chimpanzee,hand_closing,0.0,0.0,2.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,patrick,8,m,chimpanzee,nose_wiping,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,patrick,8,m,chimpanzee,nose_wiping,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,patrick,8,m,chimpanzee,scratching,0.0,0.0,2.0,1.0,6.0,8.0,2.0,2.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,patrick,8,m,chimpanzee,scratching,0.0,0.0,0.0,4.0,9.0,2.0,0.0,1.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,patrick,8,m,chimpanzee,wrist_shaking,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,patrick,8,m,chimpanzee,wrist_shaking,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,patrick,8,m,chimpanzee,yawning,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,patrick,8,m,chimpanzee,yawning,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,24,riet,28,f,chimpanzee,hand_closing,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,riet,28,f,chimpanzee,hand_closing,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,riet,28,f,chimpanzee,nose_wiping,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,riet,28,f,chimpanzee,nose_wiping,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,riet,28,f,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,riet,28,f,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,2,riet,28,f,chimpanzee,wrist_shaking,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,2,riet,28,f,chimpanzee,wrist_shaking,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,riet,28,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,riet,28,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,robert,30,m,chimpanzee,hand_closing,0.0,0.0,10.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,robert,30,m,chimpanzee,hand_closing,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,20,robert,30,m,chimpanzee,nose_wiping,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,robert,30,m,chimpanzee,nose_wiping,0.0,0.0,7.0,12.0,2.0,9.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,robert,30,m,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,robert,30,m,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,robert,30,m,chimpanzee,wrist_shaking,0.0,0.0,7.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,robert,30,m,chimpanzee,wrist_shaking,0.0,0.0,6.0,9.0,12.0,10.0,0.0,0.0,0.0,0.0
