study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,12,kofi,6,m,chimpanzee,opaque_cued,1,7,1,1,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,2,kofi,6,m,chimpanzee,opaque_cued,1,8,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,6,kofi,6,m,chimpanzee,opaque_cued,3,9,0,2,0,1,0,2.0,0.0,2.0,1.0,0.0
volter2014cognitive,4,23,kofi,6,m,chimpanzee,opaque_cued,1,10,2,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,8,kofi,6,m,chimpanzee,opaque_cued,4,11,0,2,0,0,0,2.0,0.0,3.0,2.0,1.0
volter2014cognitive,4,11,kofi,6,m,chimpanzee,opaque_cued,3,12,1,1,1,1,0,2.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,3,kofi,6,m,chimpanzee,opaque_cued,1,13,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,13,kofi,6,m,chimpanzee,opaque_cued,2,14,1,2,1,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,9,kofi,6,m,chimpanzee,opaque_cued,2,15,1,1,0,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,21,kofi,6,m,chimpanzee,opaque_cued,3,16,2,2,1,0,0,2.0,2.0,0.0,0.0,0.0
volter2014cognitive,4,24,kofi,6,m,chimpanzee,opaque_cued,1,17,2,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,4,kofi,6,m,chimpanzee,opaque_cued,1,18,0,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,10,kofi,6,m,chimpanzee,opaque_cued,2,19,1,1,1,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,22,kofi,6,m,chimpanzee,opaque_cued,2,20,2,2,0,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,1,kofi,6,m,chimpanzee,opaque_cued,1,21,0,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,18,kofi,6,m,chimpanzee,opaque_cued,2,22,2,1,1,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,5,kofi,6,m,chimpanzee,opaque_cued,1,24,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,19,kofi,6,m,chimpanzee,opaque_cued,1,25,2,1,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,19,kofi,6,m,chimpanzee,clear,1,1,2,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,10,kofi,6,m,chimpanzee,clear,1,2,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,15,kofi,6,m,chimpanzee,clear,1,3,1,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,kofi,6,m,chimpanzee,clear,3,4,2,2,1,0,0,3.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,2,kofi,6,m,chimpanzee,clear,1,5,0,2,1,1,1,3.0,0.0,0.0,0.0,0.0
