study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014cognitive,3,7,fifi,18,f,chimpanzee,clear,1,19,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,4,fifi,18,f,chimpanzee,clear,3,20,0,2,0,1.0,0,0,4.0,-1.0
volter2014cognitive,3,15,fifi,18,f,chimpanzee,clear,1,21,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,21,fifi,18,f,chimpanzee,clear,2,22,2,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,20,fifi,18,f,chimpanzee,clear,1,23,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,14,fifi,18,f,chimpanzee,clear,1,24,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,12,fifi,18,f,chimpanzee,clear,1,1,1,1,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,21,fifi,18,f,chimpanzee,clear,2,2,2,2,1,2.0,0,0,4.0,-2.0
volter2014cognitive,3,1,fifi,18,f,chimpanzee,clear,1,3,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,11,fifi,18,f,chimpanzee,clear,2,4,1,1,1,2.0,0,0,4.0,-2.0
volter2014cognitive,3,18,fifi,18,f,chimpanzee,clear,4,5,2,1,1,2.0,0,0,4.0,0.0
volter2014cognitive,3,7,fifi,18,f,chimpanzee,clear,2,6,0,2,1,2.0,0,0,4.0,-2.0
volter2014cognitive,3,15,fifi,18,f,chimpanzee,clear,2,7,1,2,0,2.0,0,0,4.0,-2.0
volter2014cognitive,3,3,fifi,18,f,chimpanzee,clear,1,8,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,24,fifi,18,f,chimpanzee,clear,1,9,2,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,2,fifi,18,f,chimpanzee,clear,1,10,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,10,fifi,18,f,chimpanzee,clear,1,11,1,1,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,5,fifi,18,f,chimpanzee,clear,1,12,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,23,fifi,18,f,chimpanzee,clear,1,13,2,2,0,2.0,1,1,4.0,-3.0
